id,name,name_ko,is_volatile,비고
0,etc,기타,,
1,burn ,화상,0,
2,freeze ,얼음,0,
3,paralysis ,마비,0,
4,posion ,독,0,
5,badly poisoned ,맹독,0,
6,sleep ,잠듦,0,
7,ability change ,특성 변화,1,고민씨 등
8,ability suppression ,특성 억제,1,위액 등
9,type change ,타입 변화,1,
10,mimic ,흉내내기,,
11,substitute ,대타출동 ,1,
12,transformed ,변신,1,
13,illusion ,특성 일루전,,
14,bound ,바인딩,,
15,curse ,저주,,
16,nightmare ,나이트메어,,
17,perish song ,멸망의노래,,
18,seeded ,씨뿌리기,,
19,salt cure ,소금절이,,
20,autotomize ,바디퍼지,,
21,identified ,정체를 꿰뚫어봄,,
22,minimize ,작아지기,,
23,tar shot ,타르샷,,
24,grounded ,떨어뜨리기를 당함,,
25,magnetic levitation ,전자부유,,
26,telekinesis ,텔레키네시스,,
27,aqua ring ,아쿠아링,,
28,rooting ,뿌리박기,,
29,laser focus ,기술 예민해지기,,
30,taking aim ,록온,,
31,drowsy ,"졸음을 유도, 하품",,
32,charged ,충전,,
33,stockpile count ,비축하기,,
34,defense curl ,웅크리기,,
35,can't escape ,도망치기 불가,,
36,no retreat ,배수의진,,
37,octolock ,문어굳히기,,
38,disable ,사슬묶기,,
39,embargo ,금제,,
40,heal block ,회복봉인,,
41,imprison ,봉인,,
42,taunt ,도발,,
43,throat chop ,지옥찌르기,,
44,torment ,트집,,
45,confusion ,혼란,1,
46,infatuation ,헤롱헤롱,,
47,getting pumped ,기충전,,
48,guard split ,가드셰어,,
49,power split ,파워셰어,,
50,power swap ,파워스왑,,
51,power trick ,파워트릭,,
52,choice lock ,구애시리즈 도구,,
53,encore ,앵콜,,
54,rampage ,"난동부리기, 역린",,
55,rolling ,구르기,,
56,making an uproar ,소란피기,,
57,bide ,참기,,
58,recharging ,반동으로 움직일 수 없다,,
59,charging turn ,다음 턴의 공격 충전,,
60,semi-invulnerable turn ,공격을 받지 않음,,
61,flinch ,풀죽음,,
62,bracing ,버티기,,
63,center of attention ,"날따름, 주목의 대상",,
64,magic coat ,매직코트,,
65,protection ,방어,,
66,frostbite,동상,,
67,drowsy ,레알세 졸음),,
68,splinters,레알세 파편,,
69,primed ,레알세,,
70,power boost ,레알세,,
71,power drop ,레알세,,
72,guard boost ,레알세,,
73,guard drop ,레알세,,
74,critical hit boost ,레알세,,
75,obscured ,레알세,,
76,fixated ,열중,,
77,might ,야성의 힘,0,
78,fly,공중날기,,
79,dig,구멍파기,,
80,destiny bond,길동무,,
81,safeguard,신비의부적,,"리프가드, 플라워베일, 리밋실드, 절대안깸, 미스트필드"
82,dive,다이빙,,
83,knock-out,탁쳐서떨구기,,
84,miracle eye,미라클아이,,"악타입에 효과 없는 기술도 명중, 8세대 삭제"
85,grudge,원념,,기절 시 해당 기술의 pp를 0으로 만듦
86,glaive rush,대검돌격,,
87,syrup bomb,시럽봄,,
88,lucky chant,주술,,
